temperature\,humidity\,co_analogic\,co_digital\,co2_analogic\,co2_digital
32.30,54.00,0.791325962976768,0,210,0
32.30,53.00,0.7730312957237535,0,210,0
32.30,54.00,0.791325962976768,0,210,0
32.30,54.00,0.791325962976768,0,210,0
32.30,54.00,0.791325962976768,0,210,0
32.30,54.00,0.791325962976768,0,210,0
32.30,54.00,0.791325962976768,0,210,0
32.30,54.00,0.7821271176264758,0,209,0
32.30,54.00,0.7821271176264758,0,209,0
32.30,54.00,0.7821271176264758,0,209,0
32.30,54.00,0.7821271176264758,0,209,0
32.30,54.00,0.791325962976768,0,209,0
32.30,54.00,0.7821271176264758,0,209,0
32.30,54.00,0.791325962976768,0,209,0
32.30,54.00,0.7821271176264758,0,209,0
32.30,54.00,0.7821271176264758,0,209,0
32.30,54.00,0.7730312957237535,0,209,0
32.30,53.00,0.7640373181793947,0,209,0
32.30,53.00,0.7730312957237535,0,208,0
32.30,53.00,0.7551440204271986,0,209,0
32.30,53.00,0.7463502522268068,0,208,0
32.30,53.00,0.7376548774694989,0,208,0
32.30,53.00,0.7551440204271986,0,208,0
32.30,53.00,0.7640373181793947,0,209,0
32.30,53.00,0.7730312957237535,0,208,0
32.30,53.00,0.7640373181793947,0,208,0
32.30,53.00,0.7551440204271986,0,208,0
32.30,53.00,0.7551440204271986,0,208,0
32.30,53.00,0.7640373181793947,0,208,0
32.40,53.00,0.8687720145939161,0,209,0
32.40,54.00,1.216376706420839,1,210,0
32.40,54.00,1.2448470279962396,0,210,0
32.40,54.00,1.1216999014367608,0,210,0
32.40,53.00,1.0223495928859734,0,209,0
32.40,53.00,0.9646860683806316,0,209,0
32.40,53.00,0.9316238881565769,0,209,0
32.40,53.00,0.9101978479268359,0,209,0
32.40,53.00,0.8789536278400707,0,209,0
32.40,53.00,0.8687720145939161,0,208,0
32.40,53.00,0.8587047241960459,0,208,0
32.40,53.00,0.8587047241960459,0,209,0
32.40,53.00,0.8587047241960459,0,209,0
32.40,53.00,0.8587047241960459,0,209,0
32.40,53.00,0.8687720145939161,0,209,0
32.40,53.00,0.8687720145939161,0,208,0
32.40,53.00,0.8587047241960459,0,208,0
32.40,53.00,0.8687720145939161,0,208,0
32.40,53.00,0.8487504374641455,0,208,0
32.40,53.00,0.8389078516550773,0,208,0
32.40,53.00,0.829175680238731,0,208,0
32.40,53.00,0.829175680238731,0,208,0
32.40,53.00,0.8389078516550773,0,208,0
32.40,53.00,0.8389078516550773,0,208,0
32.40,53.00,0.8389078516550773,0,208,0
32.40,53.00,0.829175680238731,0,208,0
32.40,53.00,0.8195526526753114,0,208,0
32.40,53.00,0.8100375141960109,0,207,0
32.30,53.00,0.8100375141960109,0,207,0
32.40,53.00,0.8006290255870137,0,207,0
32.40,52.00,0.791325962976768,0,207,0
32.40,52.00,0.791325962976768,0,207,0
32.40,53.00,0.791325962976768,0,207,0
32.40,53.00,0.791325962976768,0,207,0
32.40,52.00,0.7821271176264758,0,207,0
32.40,52.00,0.7821271176264758,0,207,0
32.40,52.00,0.7730312957237535,0,207,0
32.40,52.00,0.7730312957237535,0,206,0
32.40,52.00,0.7730312957237535,0,207,0
32.40,52.00,0.7821271176264758,0,207,0
32.40,52.00,0.7821271176264758,0,207,0
32.50,52.00,0.7730312957237535,0,207,0
32.50,52.00,0.791325962976768,0,207,0
32.50,52.00,0.791325962976768,0,207,0
32.50,52.00,0.791325962976768,0,206,0
32.60,52.00,0.791325962976768,0,206,0
32.60,52.00,0.791325962976768,0,206,0
32.60,52.00,0.791325962976768,0,206,0
32.60,52.00,0.791325962976768,0,206,0
32.60,52.00,0.791325962976768,0,206,0
32.60,52.00,0.791325962976768,0,206,0
32.60,52.00,0.791325962976768,0,206,0
32.60,52.00,0.7821271176264758,0,206,0
32.60,52.00,0.791325962976768,0,206,0
32.60,52.00,0.791325962976768,0,205,0
32.60,52.00,0.8006290255870137,0,206,0
32.60,52.00,0.8006290255870137,0,206,0
32.60,52.00,0.791325962976768,0,206,0
32.60,52.00,0.8100375141960109,0,206,0
32.60,52.00,0.8006290255870137,0,206,0
32.60,52.00,0.8006290255870137,0,205,0
32.60,52.00,0.7821271176264758,0,206,0
32.60,52.00,0.7821271176264758,0,205,0
32.60,52.00,0.7821271176264758,0,205,0
32.60,52.00,0.791325962976768,0,205,0
32.60,51.00,0.7821271176264758,0,205,0
32.60,51.00,0.7821271176264758,0,205,0
32.60,52.00,0.7821271176264758,0,205,0
32.60,52.00,0.791325962976768,0,205,0
32.70,52.00,0.791325962976768,0,205,0
32.70,52.00,0.7821271176264758,0,205,0
32.70,52.00,0.7730312957237535,0,205,0
32.70,51.00,0.7640373181793947,0,205,0
32.70,51.00,0.7640373181793947,0,205,0
32.70,51.00,0.7640373181793947,0,204,0
32.70,51.00,0.7730312957237535,0,205,0
32.70,51.00,0.7640373181793947,0,205,0
32.80,51.00,0.7640373181793947,0,205,0
32.70,51.00,0.7640373181793947,0,205,0
32.70,51.00,0.7551440204271986,0,204,0
32.70,51.00,0.7463502522268068,0,204,0
32.70,51.00,0.7463502522268068,0,204,0
32.70,51.00,0.7376548774694989,0,204,0
32.70,51.00,0.7376548774694989,0,204,0
32.70,51.00,0.7376548774694989,0,204,0
32.70,51.00,0.7290567739868958,0,204,0
32.60,51.00,0.7290567739868958,0,204,0
32.60,51.00,0.7376548774694989,0,204,0
32.60,51.00,0.7376548774694989,0,204,0
32.60,51.00,0.7463502522268068,0,203,0
32.60,51.00,0.7376548774694989,0,204,0
